file,round,wp_ct_val,wp_t_val,nade_ct_val,nade_t_val,ct_alive,t_alive,ct_winner,bomb_planted,ct_cons_wins,t_cons_wins,ct_val_real,t_val_real,round_type
esea_match_13779704.dem,1,1000.0,1166.6666666666667,550,1200,5,5,0.5,0.5,0,0,4550,3850,PISTOL_ROUND
esea_match_13779704.dem,2,10100.0,3687.5,1100,50,4,0,1,0,1,0,18450,5300,ECO
esea_match_13779704.dem,3,4125.0,11700.0,900,2450,0,1,0,0,0,1,9550,22900,SEMI_ECO
esea_match_13779704.dem,4,1000.0,11700.0,0,1600,0,3,0,1,0,2,1600,19650,ECO
esea_match_13779704.dem,5,15500.0,12750.0,1400,1700,0,4,0,1,0,3,23350,21750,NORMAL
esea_match_13779704.dem,6,13937.5,8500.0,2100,750,3,0,1,0,1,0,26400,19900,NORMAL
esea_match_13779704.dem,7,5700.0,14850.0,500,2700,1,4,0,0,0,1,12100,26550,FORCE_BUY
esea_match_13779704.dem,8,2250.0,16916.666666666668,500,1800,0,1,0,1,0,2,3050,26350,ECO
esea_match_13779704.dem,9,17150.0,12333.333333333332,2100,1200,0,4,0,0,0,3,24350,25450,NORMAL
esea_match_13779704.dem,10,15300.0,13500.0,2400,3100,3,0,1,0,1,0,27700,23950,NORMAL
esea_match_13779704.dem,11,15000.0,15916.666666666668,3100,1700,2,0,1,0,2,0,25900,15550,NORMAL
esea_match_13779704.dem,12,2125.0,15950.0,300,2300,1,2,0,0,0,1,2950,20850,ECO
esea_match_13779704.dem,13,10350.0,16916.666666666668,3700,2750,0,4,0,1,0,2,15300,27750,FORCE_BUY
esea_match_13779704.dem,14,16300.0,11166.666666666668,2600,900,1,0,1,0,1,0,25950,16000,NORMAL
esea_match_13779704.dem,15,1125.0,1000.0,1100,750,3,0,1,0,2,0,4350,3700,PISTOL_ROUND
esea_match_13779704.dem,16,3200.0,9500.0,300,1750,0,3,0,1,0,1,4950,14600,PISTOL_ROUND
esea_match_13779704.dem,17,10083.333333333334,2666.666666666667,2600,0,2,0,1,0,1,0,20800,2000,ECO
esea_match_13779704.dem,18,8416.666666666666,2500.0,2400,200,3,0,1,0,2,0,21600,4350,ECO
esea_match_13779704.dem,19,9750.0,15550.0,3700,2300,5,0,1,0,3,0,25700,26150,NORMAL
esea_match_13779704.dem,20,17875.0,16062.5,3300,2700,0,3,0,1,0,1,30100,21200,NORMAL
esea_match_13779704.dem,21,12375.0,2900.0,4100,700,3,0,1,0,1,0,27000,7600,ECO
esea_match_13779704.dem,22,6250.0,13750.0,1100,1000,0,1,0,0,0,1,15650,22000,NORMAL
esea_match_13779704.dem,23,15500.0,11500.0,1400,3600,1,4,0,1,0,2,16450,28800,FORCE_BUY
esea_match_13779704.dem,24,8500.0,13500.0,1050,2300,1,3,0,1,0,3,9500,28150,ECO
esea_match_13779704.dem,25,15500.0,16062.5,2150,1800,0,4,0,1,0,4,24150,28150,NORMAL
esea_match_13779704.dem,26,11625.0,13500.0,3150,4500,2,0,1,0,1,0,24200,25400,NORMAL
esea_match_13779704.dem,27,8833.333333333334,13500.0,500,3400,0,2,0,1,0,1,11050,25400,SEMI_ECO
esea_match_13779704.dem,28,9000.0,13500.0,700,3100,0,4,0,1,0,2,13200,25700,FORCE_BUY
esea_match_13779704.dem,29,15500.0,13500.0,4500,1400,1,0,1,1,1,0,29800,22850,NORMAL
esea_match_13779704.dem,30,15500.0,16437.5,3900,2100,2,0,1,0,2,0,31650,29900,NORMAL
esea_match_13779704.dem,31,15500.0,16062.5,3400,3100,3,0,1,0,3,0,30900,29800,NORMAL
esea_match_13779704.dem,32,19625.0,16916.666666666668,3000,1500,0,3,0,1,0,1,35550,29400,NORMAL
esea_match_13779704.dem,33,14750.0,13500.0,4300,1900,1,0,1,1,1,0,34800,21950,NORMAL
esea_match_13779704.dem,34,16000.0,18625.0,4600,2600,1,1,1,1,2,0,34900,23800,NORMAL
esea_match_13779704.dem,35,17812.5,13500.0,4300,4200,0,3,0,1,0,1,34300,27150,NORMAL
esea_match_13779704.dem,36,21416.666666666664,15550.0,3300,4400,1,0,1,1,1,0,35000,24950,NORMAL
esea_match_13779704.dem,37,17812.5,13500.0,3700,2600,0,4,0,1,0,1,32100,27950,NORMAL
esea_match_13779704.dem,38,17562.5,13500.0,4500,2300,0,3,0,1,0,2,31050,27750,NORMAL
esea_match_13779704.dem,39,15500.0,18625.0,5100,2700,2,0,1,0,1,0,29500,27350,NORMAL
